case_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L,Claa_limit,patchy_power_if_phi_amp_max,patchy_budget_fraction,template_scale_limit,genuine_shape_toy
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,99,6.346651825433925e-08,5.320854931431441e+17,8.383719601740798e+24,1.1927879837397707e-25,3.0303030303030305e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,100,6.220975551662957e-08,5.428614755086425e+17,8.726307811377393e+24,1.1459600344331153e-25,3e-10
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,2,0.00010471975511965977,4.730680612381682e+16,4.517467221897235e+20,2.2136297860729632e-21,1.499990625029297e-08
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,3,5.235987755982988e-05,4.8735327502165544e+16,9.307761930206447e+20,1.0743721288731112e-21,9.999859375988765e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,4,3.141592653589793e-05,5.020196542518809e+16,1.5979781900694216e+21,6.2579076874419455e-22,7.499812502343731e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,5,2.0943951023931954e-05,5.1707569243426424e+16,2.4688545721073313e+21,4.050461340646864e-22,5.999765629577577e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,6,1.4959965017094253e-05,5.325300195953306e+16,3.5597009684636715e+21,2.8092247322437007e-22,4.999718757910008e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,7,1.121997376282069e-05,5.483914028737069e+16,4.887635340921171e+21,2.0459791499329213e-22,4.285386173275e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,8,8.726646259971648e-06,5.646687470592513e+16,6.470627205887063e+21,1.5454452376582393e-22,3.7496250187493754e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,9,6.9813170079773176e-06,5.813710950784131e+16,8.327527519722995e+21,1.2008366200310842e-22,3.332911485028985e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,10,5.7119866428905325e-06,5.985076284239577e+16,1.0478099229606825e+22,9.543715688189025e-23,2.9995312866191863e-09
